"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-09-11 20:51:27", "1323536", "95ad70e8dc11bd88ad3e4046d180345a", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:23", "1323533", "52ace262c8e6acdb7d63f959ee499772", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:19", "1323530", "d371035b1afdf61e3d7b680bb60e95a2", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:16", "1323527", "e6e4cd20a1495fc3fc755f09ad0c6679", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:13", "1323524", "1b2583d84dca4708d7a0309cf1087a89", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:09", "1323521", "62eab9f468c6599a5a972c3fd1d5aaa4", "md5_hash", "payload", "win.sigloader", "None", "SigLoader", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:06", "1323518", "73bbd225dee50a7cd44e58a8fc26e148", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:51:03", "1323515", "26eaf0e4b145c32c7704c41682c43794", "md5_hash", "payload", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:59", "1323512", "cdee9eed2080c5d3c0494692e26d5659", "md5_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:56", "1323509", "ab06af28eabd848a572023a76ce875ac", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:53", "1323506", "58002255ca7651f46ffd07793008bad2", "md5_hash", "payload", "win.cryptbot", "None", "CryptBot", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:49", "1323503", "9141cbbe102693fc88b417a95c719910", "md5_hash", "payload", "win.meterpreter", "None", "Meterpreter", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:46", "1323500", "c8f7e4c7cc37cc2fe60ca79e5f37bc56", "md5_hash", "payload", "win.meterpreter", "None", "Meterpreter", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:43", "1323497", "0f0ef1482985e6cf9403f782e6ba6d10", "md5_hash", "payload", "win.stealc", "None", "Stealc", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:39", "1323494", "032d49a1f22f5ec2d498fcf0f4076d91", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:36", "1323491", "984c885de9fea28a60a25b278f424f50", "md5_hash", "payload", "win.socks5_systemz", "None", "Socks5 Systemz", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:33", "1323488", "5dd74b81e1e9f3ab155e1603a2fa793b", "md5_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:29", "1323485", "003978c8812e39ddb74bf9d5005cb028", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:26", "1323482", "6a6554a97cabd9a8c53fd82631dabc4d", "md5_hash", "payload", "win.vidar", "None", "Vidar", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:22", "1323479", "c7b1b2fe81251ea803f9417deed5f489", "md5_hash", "payload", "win.asyncrat", "None", "AsyncRAT", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:18", "1323476", "8b2508fe6cfe3c2800515c3237a2be66", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:13", "1323473", "0e9e305e1e69c435383eb73f66c63530", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:50:05", "1323470", "e687ec1ae50d62b2c1aca5c1840ee194", "md5_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:49:59", "1323467", "ee557be5d5e16d9ea01241f09a19a87b", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:49:55", "1323464", "65d33bde1b9e3d11e7b3ce0767fd22ec", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:49:52", "1323461", "6341110aa0627431093ef3c502f65669", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:49:49", "1323458", "7fb82bd3ea0cd2dc23015f11623f6e31", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:49:45", "1323455", "3061698f92d9687f0db272a011b7233a", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:49:11", "1323192", "fa332de9a0e7da5e975173ee47246172", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:49:08", "1323189", "c92c541048de8be340a990db10e7cbab", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:49:05", "1323186", "f9aeb179d19069e095454ea03855b3ff", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:49:02", "1323183", "d30bb9df615a8d1661f843d426ff40eb", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:59", "1323180", "0675a6d25449fba8a9a04fae80448789", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:55", "1323177", "688a3549e5ffed290bbc87989e4e6c84", "md5_hash", "payload", "win.cryptbot", "None", "CryptBot", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:52", "1323174", "ed74af816d3d992bb737a5c618edeb40", "md5_hash", "payload", "win.sigloader", "None", "SigLoader", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:49", "1323171", "42dcb6c7008cac068514bff4a01821a6", "md5_hash", "payload", "win.sigloader", "None", "SigLoader", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:45", "1323168", "9957c2105ae2ec0fa4da4a09bef2bdef", "md5_hash", "payload", "win.sigloader", "None", "SigLoader", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:41", "1323165", "a65429f63b263bf8c9ff7e7fe8d5cd5b", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:38", "1323162", "af2b325becf3f12462529b961699557a", "md5_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:35", "1323159", "1ac8fb5ee2cea350e46ecc78bf7d1c46", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:32", "1323156", "ccedcbb26614bb915a8fe3be58019b0a", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:29", "1323153", "5db36b02c61285cc0d1eaf279a1ac7e6", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:26", "1323150", "6f605fd10c79ec475befda0cd232f38b", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:23", "1323147", "352e299fc3f2327bfad5026b4a56b7cb", "md5_hash", "payload", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:18", "1323144", "31c9a34ced5d2cb3c79279f8c75cfe42", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:14", "1323141", "0cd91b9ce5afaf9566b99b623dd9dfd6", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:11", "1323138", "426658a9b3bfd147a19141e1382b51b6", "md5_hash", "payload", "win.njrat", "Bladabindi,Lime-Worm", "NjRAT", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:08", "1323135", "e2f52ef7c3c86a697bf0c93e805c3e05", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:48:05", "1323132", "5db9f3f1609f4cd4df6f627977d09fd7", "md5_hash", "payload", "win.krakenkeylogger", "None", "KrakenKeylogger", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:47:59", "1323129", "999c2c940d0c49ab173cd107e6d5323c", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-10 19:47:55", "1323126", "ed1f4a8bf32029bbbd60045ead0443d7", "md5_hash", "payload", "win.danabot", "None", "DanaBot", "", "95", "None", "None", "0", "Grim"
